city,address,area,floor,name,price,province,rooms,toward,unit,year,origin_url
合肥,龙岗-临泉东路和王岗大道交叉口东南角,90㎡,中层（共18层）,圣地亚哥,128万,安徽,3室2厅,南北向,14222元/㎡,2013年建,https://hf.esf.fang.com/chushou/3_404230646.htm
合肥,龙岗-临泉东路和王岗大道交叉口东南角,90㎡,中层（共18层）,圣地亚哥,128万,安徽,3室2厅,南北向,14222元/㎡,2013年建,https://hf.esf.fang.com/chushou/3_404230646.htm
合肥,生态公园-淮海大道与大众路交口,95㎡,中层（共18层）,正荣·悦都荟,132万,安徽,3室2厅,南向,13895元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_404304901.htm
合肥,生态公园-淮海大道与大众路交口,95㎡,中层（共18层）,正荣·悦都荟,132万,安徽,3室2厅,南向,13895元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_404304901.htm
合肥,撮镇-文一名门金隅裕溪路与东风大道交口,37㎡,中层（共22层）,文一名门金隅,32万,安徽,2室1厅,南北向,8649元/㎡,2017年建,https://hf.esf.fang.com/chushou/3_404372096.htm
合肥,撮镇-文一名门金隅裕溪路与东风大道交口,37㎡,中层（共22层）,文一名门金隅,32万,安徽,2室1厅,南北向,8649元/㎡,2017年建,https://hf.esf.fang.com/chushou/3_404372096.htm
合肥,龙岗-长江东路与和县里交口,50㎡,高层（共30层）,柏庄金座,46万,安徽,2室1厅,南向,9200元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_398859799.htm
合肥,龙岗-长江东路与和县里交口,50㎡,高层（共30层）,柏庄金座,46万,安徽,2室1厅,南向,9200元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_398859799.htm
合肥,新亚汽车站-张洼路与临泉路交汇处向北100米(原红星机械,120㎡,中层（共27层）,天目未来,158万,安徽,4室2厅,南向,13167元/㎡,2012年建,https://hf.esf.fang.com/chushou/3_381138154.htm
合肥,新亚汽车站-张洼路与临泉路交汇处向北100米(原红星机械,120㎡,中层（共27层）,天目未来,158万,安徽,4室2厅,南向,13167元/㎡,2012年建,https://hf.esf.fang.com/chushou/3_381138154.htm
合肥,骆岗-东二环路与南淝河路交口东南,94.7㎡,低层（共26层）,金隅大成郡,168万,安徽,3室2厅,南向,17740元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_395799614.htm
合肥,骆岗-东二环路与南淝河路交口东南,94.7㎡,低层（共26层）,金隅大成郡,168万,安徽,3室2厅,南向,17740元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_395799614.htm
重庆,礼嘉-光照路附近 (金通大道与金海大道交界处步行5,123㎡,低层（共8层）,礼悦江山,176.5万,直辖市,4室2厅,南向,14350元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195837996.htm
重庆,礼嘉-光照路附近 (金通大道与金海大道交界处步行5,123㎡,低层（共8层）,礼悦江山,176.5万,直辖市,4室2厅,南向,14350元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195837996.htm
合肥,,,,,,安徽,,,,,
合肥,,,,,,安徽,,,,,
合肥,撮镇-裕溪路与东风大道交口,32㎡,中层（共28层）,文一名门金隅,25万,安徽,2室1厅,南向,7812元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_402726185.htm
合肥,撮镇-裕溪路与东风大道交口,32㎡,中层（共28层）,文一名门金隅,25万,安徽,2室1厅,南向,7812元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_402726185.htm
合肥,龙岗-临泉东路与通达路交口西北,83㎡,低层（共6层）,静安新天地,99万,安徽,2室2厅,南北向,11928元/㎡,2012年建,https://hf.esf.fang.com/chushou/3_404229188.htm
合肥,龙岗-临泉东路与通达路交口西北,83㎡,低层（共6层）,静安新天地,99万,安徽,2室2厅,南北向,11928元/㎡,2012年建,https://hf.esf.fang.com/chushou/3_404229188.htm
合肥,合钢-上海路与滨河路交口,56㎡,低层（共28层）,一尔悦城,52万,安徽,3室2厅,南北向,9286元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_391268976.htm
合肥,合钢-上海路与滨河路交口,56㎡,低层（共28层）,一尔悦城,52万,安徽,3室2厅,南北向,9286元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_391268976.htm
合肥,长江批发市场-长江东大街与花冲路交口西南角,33㎡,高层（共33层）,利港银河之光,27万,安徽,2室1厅,南向,8182元/㎡,,https://hf.esf.fang.com/chushou/3_395765691.htm
合肥,长江批发市场-长江东大街与花冲路交口西南角,33㎡,高层（共33层）,利港银河之光,27万,安徽,2室1厅,南向,8182元/㎡,,https://hf.esf.fang.com/chushou/3_395765691.htm
合肥,长江批发市场-临泉东路与顺祥路交汇处,86㎡,中层（共15层）,皇马花园,105万,安徽,2室2厅,南北向,12209元/㎡,2016年建,https://hf.esf.fang.com/chushou/3_404300268.htm
合肥,长江批发市场-临泉东路与顺祥路交汇处,86㎡,中层（共15层）,皇马花园,105万,安徽,2室2厅,南北向,12209元/㎡,2016年建,https://hf.esf.fang.com/chushou/3_404300268.htm
重庆,天星桥-小龙坎正街369号,57㎡,高层（共26层）,融侨诺丁阳光,80万,直辖市,1室1厅,南向,14035元/㎡,2007年建,https://cq.esf.fang.com/chushou/3_195696489.htm
重庆,天星桥-小龙坎正街369号,57㎡,高层（共26层）,融侨诺丁阳光,80万,直辖市,1室1厅,南向,14035元/㎡,2007年建,https://cq.esf.fang.com/chushou/3_195696489.htm
重庆,凤天路-凤西路一站,100㎡,低层（共32层）,华宇城,160万,直辖市,3室2厅,南北向,16000元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195860939.htm
重庆,凤天路-凤西路一站,100㎡,低层（共32层）,华宇城,160万,直辖市,3室2厅,南北向,16000元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195860939.htm
重庆,龙兴-两江新区龙兴两江大道,131㎡,中层（共12层）,协信哈罗国际,145万,直辖市,4室2厅,南向,11069元/㎡,2017年建,https://cq.esf.fang.com/chushou/3_195891373.htm
重庆,龙兴-两江新区龙兴两江大道,131㎡,中层（共12层）,协信哈罗国际,145万,直辖市,4室2厅,南向,11069元/㎡,2017年建,https://cq.esf.fang.com/chushou/3_195891373.htm
重庆,一号桥-重庆市渝中区黄花园双钢路(两江丽景旁),88.4㎡,高层（共32层）,康田国际,135万,直辖市,2室2厅,南向,15271元/㎡,2009年建,https://cq.esf.fang.com/chushou/3_195514315.htm
重庆,一号桥-重庆市渝中区黄花园双钢路(两江丽景旁),88.4㎡,高层（共32层）,康田国际,135万,直辖市,2室2厅,南向,15271元/㎡,2009年建,https://cq.esf.fang.com/chushou/3_195514315.htm
重庆,巴滨路-龙洲湾巴滨路(巴南新区府附近),91.71㎡,低层（共31层）,华宇龙湾,92万,直辖市,3室2厅,南北向,10032元/㎡,2015年建,https://cq.esf.fang.com/chushou/3_195903338.htm
重庆,巴滨路-龙洲湾巴滨路(巴南新区府附近),91.71㎡,低层（共31层）,华宇龙湾,92万,直辖市,3室2厅,南北向,10032元/㎡,2015年建,https://cq.esf.fang.com/chushou/3_195903338.htm
重庆,,,,,,直辖市,,,,,
重庆,,,,,,直辖市,,,,,
重庆,江津-江津双福新区津马大道与福成大道交汇处,98㎡,中层（共32层）,中骏.雍景湾,63.5万,直辖市,3室2厅,南北向,6480元/㎡,,https://cq.esf.fang.com/chushou/3_195769286.htm
重庆,江津-江津双福新区津马大道与福成大道交汇处,98㎡,中层（共32层）,中骏.雍景湾,63.5万,直辖市,3室2厅,南北向,6480元/㎡,,https://cq.esf.fang.com/chushou/3_195769286.htm
合肥,撮镇-文一名门金隅裕溪路与东风大道交口,31㎡,高层（共19层）,文一名门金隅,24万,安徽,2室1厅,南向,7742元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_404384925.htm
合肥,撮镇-文一名门金隅裕溪路与东风大道交口,31㎡,高层（共19层）,文一名门金隅,24万,安徽,2室1厅,南向,7742元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_404384925.htm
合肥,骆岗-东二环路与南淝河路交口东南,94㎡,中层（共24层）,金隅大成郡,164万,安徽,3室2厅,南向,17447元/㎡,,https://hf.esf.fang.com/chushou/3_394938120.htm
合肥,骆岗-东二环路与南淝河路交口东南,94㎡,中层（共24层）,金隅大成郡,164万,安徽,3室2厅,南向,17447元/㎡,,https://hf.esf.fang.com/chushou/3_394938120.htm
合肥,包河工业园-包河区包河大道与西安路交汇处,60㎡,高层（共22层）,合肥南翔茗座,45万,安徽,2室2厅,东向,7500元/㎡,2017年建,https://hf.esf.fang.com/chushou/3_387785990.htm
合肥,包河工业园-包河区包河大道与西安路交汇处,60㎡,高层（共22层）,合肥南翔茗座,45万,安徽,2室2厅,东向,7500元/㎡,2017年建,https://hf.esf.fang.com/chushou/3_387785990.htm
合肥,生态公园-淮海大道与大众路交口,95㎡,中层（共18层）,正荣·悦都荟,132万,安徽,3室2厅,南向,13895元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_393164052.htm
合肥,生态公园-淮海大道与大众路交口,95㎡,中层（共18层）,正荣·悦都荟,132万,安徽,3室2厅,南向,13895元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_393164052.htm
合肥,职教城-包公大道与烈山路交口北500米西侧,95㎡,高层（共27层）,碧桂园·正荣悦玺,160万,安徽,3室2厅,南向,16842元/㎡,,https://hf.esf.fang.com/chushou/3_381659536.htm
合肥,职教城-包公大道与烈山路交口北500米西侧,95㎡,高层（共27层）,碧桂园·正荣悦玺,160万,安徽,3室2厅,南向,16842元/㎡,,https://hf.esf.fang.com/chushou/3_381659536.htm
合肥,生态公园-相城路与淮海大道交口西北角,97㎡,中层（共18层）,保利罗兰香谷,128万,安徽,4室2厅,南向,13196元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_396069617.htm
合肥,生态公园-相城路与淮海大道交口西北角,97㎡,中层（共18层）,保利罗兰香谷,128万,安徽,4室2厅,南向,13196元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_396069617.htm
重庆,步行街-西滨路(原重钢五六厂),94㎡,中层（共33层）,佳兆业滨江新城,110万,直辖市,3室1厅,北向,11702元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195157301.htm
重庆,步行街-西滨路(原重钢五六厂),94㎡,中层（共33层）,佳兆业滨江新城,110万,直辖市,3室1厅,北向,11702元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195157301.htm
重庆,界石-江南新城天鹿大道,98㎡,高层（共7层）,金科美辰,120万,直辖市,3室2厅,南向,12245元/㎡,2018年建,https://cq.esf.fang.com/chushou/3_195733892.htm
重庆,界石-江南新城天鹿大道,98㎡,高层（共7层）,金科美辰,120万,直辖市,3室2厅,南向,12245元/㎡,2018年建,https://cq.esf.fang.com/chushou/3_195733892.htm
